Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Himachal Pradesh,,,,,
Arhar/Tur,,,,,
 9.PITHORAGARH, 2007-08,Kharif     ,330,99,0.3
 10.RUDRA PRAYAG, 2007-08,Kharif     ,102,26,0.25
 11.TEHRI GARHWAL, 2007-08,Kharif     ,434,122,0.28
 12.UTTAR KASHI, 2007-08,Kharif     ,107,37,0.35
Total - Dry chillies,,,5671,2000,0.35
Ginger,,,,,
 1.ALMORA, 2014-15,Kharif     ,150,1361,9.07
 2.BAGESHWAR, 2014-15,Kharif     ,18,155,8.61
 3.CHAMOLI, 2014-15,Kharif     ,1,14,14
 4.CHAMPAWAT, 2014-15,Kharif     ,694,6878,9.91
 5.DEHRADUN, 2014-15,Kharif     ,449,8156,18.16
 6.NAINITAL, 2014-15,Kharif     ,287,3126,10.89
 7.PAURI GARHWAL, 2014-15,Kharif     ,154,1343,8.72
 8.PITHORAGARH, 2014-15,Kharif     ,129,1299,10.07
 9.TEHRI GARHWAL, 2014-15,Kharif     ,196,2415,12.32
 10.UTTAR KASHI, 2014-15,Kharif     ,3,27,9
Total - Ginger,,,2081,24774,11.9
Groundnut,,,,,
 1.ALMORA, 2006-07,Kharif     ,33,28,0.85
, 2012-13,Kharif     ,26,26,1
, 2014-15,Kharif     ,1,1,1
, 2015-16,Kharif     ,2,2,1
, 2017-18,Kharif     ,1,1,1
, 2018-19,Kharif     ,10,10,1
, 2019-20,Kharif     ,1,1,1
 2.BAGESHWAR, 2008-09,Kharif     ,1,1,1
, 2013-14,Kharif     ,2,2,1
 3.CHAMPAWAT, 2003-04,Kharif     ,1,1,1
, 2004-05,Kharif     ,1,1,1
, 2009-10,Kharif     ,19,15,0.79
, 2010-11,Kharif     ,21,22,1.05
, 2011-12,Kharif     ,33,42,1.27
, 2012-13,Kharif     ,8,8,1
, 2013-14,Kharif     ,132,148,1.12
, 2014-15,Kharif     ,26,29,1.12
, 2015-16,Kharif     ,5,5,1
, 2016-17,Kharif     ,11,14,1.27
, 2017-18,Kharif     ,23,32,1.39
, 2018-19,Kharif     ,25,26,1.04
, 2019-20,Kharif     ,59,53,0.9
, 2020-21,Kharif     ,9,14,1.56
 4.DEHRADUN, 2000-01,Kharif     ,232,190,0.82
, 2001-02,Kharif     ,232,197,0.85
, 2002-03,Kharif     ,258,181,0.7
, 2003-04,Kharif     ,78,74,0.95
, 2004-05,Kharif     ,252,311,1.23
, 2005-06,Kharif     ,143,139,0.97
, 2006-07,Kharif     ,163,179,1.1
, 2007-08,Kharif     ,151,128,0.85
, 2008-09,Kharif     ,89,76,0.85
, 2009-10,Kharif     ,82,70,0.85
, 2010-11,Kharif     ,128,138,1.08
, 2011-12,Kharif     ,133,140,1.05
, 2012-13,Kharif     ,79,89,1.13
, 2013-14,Kharif     ,54,61,1.13
, 2014-15,Kharif     ,74,81,1.09
, 2015-16,Kharif     ,73,80,1.1
, 2016-17,Kharif     ,47,61,1.3
, 2017-18,Kharif     ,12,17,1.42
, 2018-19,Kharif     ,39,40,1.03
, 2019-20,Kharif     ,49,49,1
, 2020-21,Kharif     ,36,55,1.53
 5.HARIDWAR, 2000-01,Kharif     ,1513,1286,0.85
, 2001-02,Kharif     ,863,777,0.9
, 2002-03,Kharif     ,860,688,0.8
, 2003-04,Kharif     ,1134,1134,1
, 2004-05,Kharif     ,1307,1614,1.23
, 2005-06,Kharif     ,1505,1463,0.97
, 2006-07,Kharif     ,1335,1464,1.1
, 2007-08,Kharif     ,1261,1072,0.85
, 2008-09,Kharif     ,1088,1538,1.41
, 2009-10,Kharif     ,1168,1731,1.48
, 2010-11,Kharif     ,1048,1135,1.08
, 2011-12,Kharif     ,925,1196,1.29
, 2012-13,Kharif     ,866,1011,1.17
, 2013-14,Kharif     ,949,1108,1.17
, 2014-15,Kharif     ,1022,1127,1.1
, 2015-16,Kharif     ,776,1117,1.44
, 2016-17,Kharif     ,807,1048,1.3
, 2017-18,Kharif     ,637,877,1.38
, 2018-19,Kharif     ,546,567,1.04
, 2019-20,Kharif     ,515,561,1.09
, 2020-21,Kharif     ,482,728,1.51
 6.NAINITAL, 2000-01,Kharif     ,5,5,1
, 2001-02,Kharif     ,6,5,0.83
, 2002-03,Kharif     ,6,4,0.67
, 2003-04,Kharif     ,4,4,1
, 2006-07,Kharif     ,112,101,0.9
, 2007-08,Kharif     ,62,47,0.76
, 2008-09,Kharif     ,99,84,0.85
, 2009-10,Kharif     ,67,57,0.85
, 2010-11,Kharif     ,76,80,1.05
, 2011-12,Kharif     ,39,50,1.28
, 2012-13,Kharif     ,50,50,1
, 2013-14,Kharif     ,57,76,1.33
, 2014-15,Kharif     ,61,67,1.1
, 2015-16,Kharif     ,47,48,1.02
, 2016-17,Kharif     ,54,70,1.3
, 2017-18,Kharif     ,109,150,1.38
, 2018-19,Kharif     ,84,87,1.04
, 2019-20,Kharif     ,26,21,0.81
, 2020-21,Kharif     ,33,50,1.52
 7.PAURI GARHWAL, 2003-04,Kharif     ,9,7,0.78
, 2004-05,Kharif     ,9,11,1.22
, 2017-18,Kharif     ,1,1,1
 8.PITHORAGARH, 2005-06,Kharif     ,44,43,0.98
, 2007-08,Kharif     ,2,1,0.5
, 2008-09,Kharif     ,23,16,0.7
, 2011-12,Kharif     ,35,45,1.29
, 2013-14,Kharif     ,2,2,1
, 2015-16,Kharif     ,11,11,1
, 2017-18,Kharif     ,2,3,1.5
, 2020-21,Kharif     ,45,68,1.51
 9.UDAM SINGH NAGAR, 2001-02,Kharif     ,35,35,1
, 2002-03,Kharif     ,55,47,0.85
, 2003-04,Kharif     ,47,47,1
, 2004-05,Kharif     ,55,68,1.24
, 2006-07,Kharif     ,106,116,1.09
, 2007-08,Kharif     ,70,70,1
, 2008-09,Kharif     ,55,80,1.45
, 2009-10,Kharif     ,33,28,0.85
, 2010-11,Kharif     ,57,74,1.3
, 2011-12,Kharif     ,49,65,1.33
, 2012-13,Kharif     ,38,51,1.34
, 2013-14,Kharif     ,22,29,1.32
, 2014-15,Kharif     ,1,1,1
, 2015-16,Kharif     ,15,15,1
, 2016-17,Kharif     ,16,21,1.31
, 2017-18,Kharif     ,20,28,1.4
, 2018-19,Kharif     ,5,5,1
, 2019-20,Kharif     ,19,21,1.11
, 2020-21,Kharif     ,12,18,1.5
Total - Groundnut,,,25351,28163,1.11
Horse-gram,,,,,
 1.ALMORA, 2000-01,Kharif     ,1244,684,0.55
, 2001-02,Kharif     ,1146,573,0.5
, 2002-03,Kharif     ,1307,614,0.47
, 2003-04,Kharif     ,1268,1014,0.8
, 2004-05,Kharif     ,1192,834,0.7
, 2005-06,Kharif     ,1436,808,0.56
, 2006-07,Kharif     ,1266,968,0.76
, 2007-08,Kharif     ,1478,1153,0.78
, 2008-09,Kharif     ,1303,1016,0.78
, 2009-10,Kharif     ,1523,1188,0.78
, 2010-11,Kharif     ,1782,1408,0.79
, 2011-12,Kharif     ,1282,1020,0.8
, 2012-13,Kharif     ,1587,1270,0.8
, 2013-14,Kharif     ,1668,1251,0.75
, 2014-15,Kharif     ,1694,1401,0.83
, 2015-16,Kharif     ,1586,1291,0.81
, 2016-17,Kharif     ,1756,1384,0.79
, 2017-18,Kharif     ,1829,1646,0.9
, 2018-19,Kharif     ,2131,2097,0.98
, 2019-20,Kharif     ,2676,2515,0.94
, 2020-21,Kharif     ,2835,3100,1.09
 2.BAGESHWAR, 2000-01,Kharif     ,287,215,0.75
, 2001-02,Kharif     ,298,158,0.53
, 2002-03,Kharif     ,151,91,0.6
, 2003-04,Kharif     ,63,46,0.73
, 2004-05,Kharif     ,358,251,0.7
, 2005-06,Kharif     ,29,17,0.59
, 2006-07,Kharif     ,17,14,0.82
, 2007-08,Kharif     ,18,17,0.94
, 2008-09,Kharif     ,255,242,0.95
, 2009-10,Kharif     ,270,234,0.87
, 2010-11,Kharif     ,234,214,0.91
, 2011-12,Kharif     ,239,206,0.86
, 2012-13,Kharif     ,441,367,0.83
, 2013-14,Kharif     ,233,119,0.51
, 2014-15,Kharif     ,191,99,0.52
, 2015-16,Kharif     ,117,95,0.81
, 2016-17,Kharif     ,197,155,0.79
, 2017-18,Kharif     ,188,148,0.79
, 2018-19,Kharif     ,209,164,0.78
, 2019-20,Kharif     ,130,122,0.94
, 2020-21,Kharif     ,250,273,1.09
 3.CHAMOLI, 2000-01,Kharif     ,392,235,0.6
, 2001-02,Kharif     ,321,177,0.55
, 2002-03,Kharif     ,211,116,0.55
, 2003-04,Kharif     ,236,198,0.84
, 2004-05,Kharif     ,366,275,0.75
, 2005-06,Kharif     ,258,199,0.77
, 2006-07,Kharif     ,361,188,0.52
, 2007-08,Kharif     ,310,225,0.73
, 2008-09,Kharif     ,369,268,0.73
, 2009-10,Kharif     ,421,220,0.52
, 2010-11,Kharif     ,406,421,1.04
, 2011-12,Kharif     ,334,286,0.86
, 2012-13,Kharif     ,373,404,1.08
, 2013-14,Kharif     ,318,261,0.82
, 2014-15,Kharif     ,555,381,0.69
, 2015-16,Kharif     ,440,400,0.91
, 2016-17,Kharif     ,457,385,0.84
, 2017-18,Kharif     ,409,353,0.86
, 2018-19,Kharif     ,496,436,0.88
, 2019-20,Kharif     ,414,404,0.98
, 2020-21,Kharif     ,458,447,0.98
 4.CHAMPAWAT, 2000-01,Kharif     ,423,212,0.5
, 2003-04,Kharif     ,196,151,0.77
, 2004-05,Kharif     ,21,15,0.71
, 2005-06,Kharif     ,27,17,0.63
, 2006-07,Kharif     ,5,3,0.6
, 2007-08,Kharif     ,140,77,0.55
, 2008-09,Kharif     ,190,105,0.55
, 2009-10,Kharif     ,98,54,0.55
, 2010-11,Kharif     ,15,9,0.6
, 2011-12,Kharif     ,630,365,0.58
, 2012-13,Kharif     ,785,453,0.58
, 2013-14,Kharif     ,229,132,0.58
, 2014-15,Kharif     ,721,831,1.15
, 2015-16,Kharif     ,1090,1490,1.37
, 2016-17,Kharif     ,639,575,0.9
, 2017-18,Kharif     ,1194,1290,1.08
, 2018-19,Kharif     ,854,807,0.94
, 2019-20,Kharif     ,979,968,0.99
, 2020-21,Kharif     ,947,1184,1.25
 5.DEHRADUN, 2000-01,Kharif     ,690,353,0.51
, 2001-02,Kharif     ,462,208,0.45
, 2002-03,Kharif     ,511,245,0.48
, 2003-04,Kharif     ,430,315,0.73
, 2004-05,Kharif     ,190,143,0.75
, 2005-06,Kharif     ,475,296,0.62
, 2006-07,Kharif     ,636,401,0.63
, 2007-08,Kharif     ,652,619,0.95
, 2008-09,Kharif     ,561,533,0.95
, 2009-10,Kharif     ,604,574,0.95
, 2010-11,Kharif     ,722,614,0.85
, 2011-12,Kharif     ,717,538,0.75
, 2012-13,Kharif     ,668,307,0.46
, 2013-14,Kharif     ,932,420,0.45
, 2014-15,Kharif     ,917,795,0.87
, 2015-16,Kharif     ,783,755,0.96
, 2016-17,Kharif     ,629,503,0.8
, 2017-18,Kharif     ,757,780,1.03
, 2018-19,Kharif     ,842,815,0.97
, 2019-20,Kharif     ,808,832,1.03
, 2020-21,Kharif     ,762,904,1.19
 6.NAINITAL, 2000-01,Kharif     ,638,338,0.53
, 2001-02,Kharif     ,609,305,0.5
, 2002-03,Kharif     ,443,213,0.48
, 2003-04,Kharif     ,507,371,0.73
, 2004-05,Kharif     ,502,351,0.7
, 2005-06,Kharif     ,688,396,0.58
, 2006-07,Kharif     ,391,266,0.68
, 2007-08,Kharif     ,769,577,0.75
, 2008-09,Kharif     ,800,600,0.75
, 2009-10,Kharif     ,557,418,0.75
, 2010-11,Kharif     ,866,659,0.76
, 2011-12,Kharif     ,557,426,0.76
, 2012-13,Kharif     ,713,538,0.75
, 2013-14,Kharif     ,721,505,0.7
, 2014-15,Kharif     ,755,633,0.84
, 2015-16,Kharif     ,728,541,0.74
, 2016-17,Kharif     ,806,752,0.93
, 2017-18,Kharif     ,878,922,1.05
, 2018-19,Kharif     ,671,604,0.9
, 2019-20,Kharif     ,719,712,0.99
, 2020-21,Kharif     ,871,1047,1.2
 7.PAURI GARHWAL, 2000-01,Kharif     ,1656,911,0.55
, 2001-02,Kharif     ,1491,746,0.5
, 2002-03,Kharif     ,1686,792,0.47
, 2003-04,Kharif     ,1910,1188,0.62
, 2004-05,Kharif     ,2198,1583,0.72
, 2005-06,Kharif     ,1917,1267,0.66
, 2006-07,Kharif     ,2050,1439,0.7
, 2007-08,Kharif     ,1462,1181,0.81
, 2008-09,Kharif     ,1515,1224,0.81
, 2009-10,Kharif     ,1875,677,0.36
, 2010-11,Kharif     ,1479,1124,0.76
, 2011-12,Kharif     ,1843,1294,0.7
, 2012-13,Kharif     ,1824,1069,0.59
, 2013-14,Kharif     ,2111,1526,0.72
, 2014-15,Kharif     ,2286,1529,0.67
, 2015-16,Kharif     ,2149,1719,0.8
, 2016-17,Kharif     ,2299,1379,0.6
, 2017-18,Kharif     ,2169,1182,0.54
, 2018-19,Kharif     ,1748,1398,0.8
, 2019-20,Kharif     ,2101,1588,0.76
, 2020-21,Kharif     ,1641,1017,0.62
 8.PITHORAGARH, 2000-01,Kharif     ,134,80,0.6
, 2002-03,Kharif     ,267,147,0.55
, 2003-04,Kharif     ,118,96,0.81
, 2004-05,Kharif     ,377,279,0.74
, 2005-06,Kharif     ,323,288,0.89
, 2006-07,Kharif     ,1319,1075,0.82
, 2007-08,Kharif     ,484,392,0.81
, 2008-09,Kharif     ,543,440,0.81
, 2009-10,Kharif     ,706,664,0.94
, 2010-11,Kharif     ,756,989,1.31
, 2011-12,Kharif     ,583,706,1.21
, 2012-13,Kharif     ,723,1043,1.44
, 2013-14,Kharif     ,647,924,1.43
, 2014-15,Kharif     ,809,713,0.88
, 2015-16,Kharif     ,636,712,1.12
, 2016-17,Kharif     ,811,672,0.83
, 2017-18,Kharif     ,627,745,1.19
, 2018-19,Kharif     ,979,948,0.97
, 2019-20,Kharif     ,1013,1205,1.19
, 2020-21,Kharif     ,817,775,0.95
 9.RUDRA PRAYAG, 2000-01,Kharif     ,217,109,0.5
, 2001-02,Kharif     ,120,54,0.45
, 2002-03,Kharif     ,142,64,0.45
, 2003-04,Kharif     ,168,116,0.69
, 2004-05,Kharif     ,156,117,0.75
, 2005-06,Kharif     ,72,42,0.58
, 2006-07,Kharif     ,155,104,0.67
, 2007-08,Kharif     ,183,56,0.31
, 2008-09,Kharif     ,184,56,0.3
, 2009-10,Kharif     ,177,69,0.39
, 2010-11,Kharif     ,158,110,0.7
, 2011-12,Kharif     ,109,111,1.02
, 2012-13,Kharif     ,184,97,0.53
, 2013-14,Kharif     ,176,108,0.61
, 2014-15,Kharif     ,162,103,0.64
, 2015-16,Kharif     ,136,100,0.74
, 2016-17,Kharif     ,132,128,0.97
, 2017-18,Kharif     ,115,111,0.97
, 2018-19,Kharif     ,107,104,0.97
, 2019-20,Kharif     ,142,107,0.75
, 2020-21,Kharif     ,142,88,0.62
 10.TEHRI GARHWAL, 2000-01,Kharif     ,2641,1109,0.42
, 2001-02,Kharif     ,2372,735,0.31
, 2002-03,Kharif     ,2289,938,0.41
, 2003-04,Kharif     ,2628,2102,0.8
, 2004-05,Kharif     ,2503,1752,0.7
, 2005-06,Kharif     ,2651,1352,0.51
, 2006-07,Kharif     ,2501,1628,0.65
, 2007-08,Kharif     ,2671,1990,0.75
, 2008-09,Kharif     ,2986,2225,0.75
, 2009-10,Kharif     ,2460,1405,0.57
, 2010-11,Kharif     ,2433,1859,0.76
, 2011-12,Kharif     ,2861,2336,0.82
, 2012-13,Kharif     ,2877,2529,0.88
, 2013-14,Kharif     ,2607,2021,0.78
, 2014-15,Kharif     ,3177,2430,0.76
, 2015-16,Kharif     ,3103,2585,0.83
, 2016-17,Kharif     ,2988,2803,0.94
, 2017-18,Kharif     ,3628,2351,0.65
, 2018-19,Kharif     ,3883,3378,0.87
, 2019-20,Kharif     ,3159,2922,0.92
, 2020-21,Kharif     ,3415,3301,0.97
 11.UTTAR KASHI, 2000-01,Kharif     ,901,541,0.6
, 2001-02,Kharif     ,962,481,0.5
, 2002-03,Kharif     ,582,279,0.48
, 2003-04,Kharif     ,647,469,0.72
, 2004-05,Kharif     ,712,534,0.75
, 2005-06,Kharif     ,695,434,0.62
, 2006-07,Kharif     ,822,659,0.8
, 2007-08,Kharif     ,834,718,0.86
, 2008-09,Kharif     ,825,710,0.86
, 2009-10,Kharif     ,847,406,0.48
, 2010-11,Kharif     ,839,772,0.92
, 2011-12,Kharif     ,861,832,0.97
, 2012-13,Kharif     ,692,623,0.9
, 2013-14,Kharif     ,881,1207,1.37
, 2014-15,Kharif     ,842,868,1.03
, 2015-16,Kharif     ,812,604,0.74
, 2016-17,Kharif     ,1048,800,0.76
, 2017-18,Kharif     ,934,1027,1.1
, 2018-19,Kharif     ,978,668,0.68
, 2019-20,Kharif     ,1082,819,0.76
, 2020-21,Kharif     ,1011,708,0.7
Total - Horse-gram,,,216048,166213,0.77
Jowar,,,,,
 1.DEHRADUN, 2005-06,Kharif     ,3,2,0.67
 2.HARIDWAR, 2015-16,Kharif     ,5,4,0.8
Total - Jowar,,,8,6,0.75
Maize,,,,,
 1.ALMORA, 2000-01,Kharif     ,1922,2504,1.3
, 2001-02,Kharif     ,2104,2495,1.19
, 2002-03,Kharif     ,1917,1601,0.84
, 2003-04,Kharif     ,2445,2690,1.1
, 2004-05,Kharif     ,2052,2257,1.1
, 2005-06,Kharif     ,1887,1234,0.65
, 2006-07,Kharif     ,1726,1597,0.93
, 2007-08,Kharif     ,1857,1857,1
, 2008-09,Kharif     ,1690,1690,1
, 2009-10,Kharif     ,1924,1924,1
, 2010-11,Kharif     ,1656,2887,1.74
, 2011-12,Kharif     ,1487,2653,1.78
, 2012-13,Kharif     ,2028,3103,1.53
, 2013-14,Kharif     ,1623,1962,1.21
, 2014-15,Kharif     ,1999,2303,1.15
, 2015-16,Kharif     ,1689,1120,0.66
, 2016-17,Kharif     ,1943,1638,0.84
, 2017-18,Kharif     ,1874,2449,1.31
, 2018-19,Kharif     ,2248,3140,1.4
, 2019-20,Kharif     ,2173,2912,1.34
, 2020-21,Kharif     ,1958,3818,1.95
 2.BAGESHWAR, 2000-01,Kharif     ,391,432,1.1
, 2001-02,Kharif     ,393,428,1.09
, 2002-03,Kharif     ,573,382,0.67
, 2003-04,Kharif     ,1275,1705,1.34
, 2004-05,Kharif     ,428,529,1.24
, 2005-06,Kharif     ,1468,1058,0.72
, 2006-07,Kharif     ,355,337,0.95
, 2007-08,Kharif     ,806,988,1.23
, 2008-09,Kharif     ,381,519,1.36
, 2009-10,Kharif     ,376,512,1.36
, 2010-11,Kharif     ,303,400,1.32
, 2011-12,Kharif     ,406,577,1.42
, 2012-13,Kharif     ,429,603,1.41
, 2013-14,Kharif     ,337,473,1.4
, 2014-15,Kharif     ,279,279,1
, 2015-16,Kharif     ,458,304,0.66
, 2016-17,Kharif     ,373,498,1.34
, 2017-18,Kharif     ,288,377,1.31
, 2018-19,Kharif     ,320,676,2.11
, 2019-20,Kharif     ,369,494,1.34
, 2020-21,Kharif     ,247,482,1.95
 3.CHAMOLI, 2000-01,Kharif     ,211,268,1.27
, 2001-02,Kharif     ,233,245,1.05
, 2002-03,Kharif     ,169,154,0.91
, 2003-04,Kharif     ,233,324,1.39
, 2004-05,Kharif     ,187,238,1.27
, 2005-06,Kharif     ,195,171,0.88
, 2006-07,Kharif     ,192,173,0.9
, 2007-08,Kharif     ,177,172,0.97
, 2008-09,Kharif     ,204,131,0.64
, 2009-10,Kharif     ,205,132,0.64
, 2010-11,Kharif     ,196,175,0.89
, 2011-12,Kharif     ,199,178,0.89
, 2012-13,Kharif     ,197,177,0.9
, 2013-14,Kharif     ,187,168,0.9
, 2014-15,Kharif     ,181,320,1.77
, 2015-16,Kharif     ,225,397,1.76
, 2016-17,Kharif     ,235,397,1.69
, 2017-18,Kharif     ,206,355,1.72
, 2018-19,Kharif     ,234,404,1.73
, 2019-20,Kharif     ,185,300,1.62
, 2020-21,Kharif     ,217,359,1.65
 4.CHAMPAWAT, 2000-01,Kharif     ,934,1377,1.47
, 2001-02,Kharif     ,777,891,1.15
, 2002-03,Kharif     ,773,812,1.05
, 2003-04,Kharif     ,556,737,1.33
, 2004-05,Kharif     ,923,1131,1.23
, 2005-06,Kharif     ,848,692,0.82
, 2006-07,Kharif     ,870,879,1.01
, 2007-08,Kharif     ,618,587,0.95
, 2008-09,Kharif     ,658,624,0.95
, 2009-10,Kharif     ,495,470,0.95
, 2010-11,Kharif     ,592,552,0.93
, 2011-12,Kharif     ,645,603,0.93
, 2012-13,Kharif     ,769,721,0.94
, 2013-14,Kharif     ,632,591,0.94
, 2014-15,Kharif     ,563,563,1
, 2015-16,Kharif     ,524,585,1.12
, 2016-17,Kharif     ,592,710,1.2
, 2017-18,Kharif     ,481,1015,2.11
, 2018-19,Kharif     ,597,1457,2.44
, 2019-20,Kharif     ,570,1307,2.29
, 2020-21,Kharif     ,594,1291,2.17
 5.DEHRADUN, 2000-01,Kharif     ,11602,19229,1.66
, 2001-02,Kharif     ,11527,14420,1.25
, 2002-03,Kharif     ,11713,15611,1.33
, 2003-04,Kharif     ,10439,17994,1.72
, 2004-05,Kharif     ,11500,19106,1.66
, 2005-06,Kharif     ,10917,16854,1.54
, 2006-07,Kharif     ,10681,17667,1.65
, 2007-08,Kharif     ,11006,23349,2.12
, 2008-09,Kharif     ,10659,16938,1.59
, 2009-10,Kharif     ,10325,16427,1.59
, 2010-11,Kharif     ,9540,17522,1.84
, 2011-12,Kharif     ,9244,15920,1.72
, 2012-13,Kharif     ,8811,13126,1.49
, 2013-14,Kharif     ,8647,10335,1.2
, 2014-15,Kharif     ,8367,20194,2.41
, 2015-16,Kharif     ,7170,15567,2.17
, 2016-17,Kharif     ,7289,16087,2.21
, 2017-18,Kharif     ,6748,18535,2.75
, 2018-19,Kharif     ,6432,16091,2.5
, 2019-20,Kharif     ,5736,15466,2.7
, 2020-21,Kharif     ,5923,16392,2.77
 6.HARIDWAR, 2000-01,Kharif     ,1962,2876,1.47
, 2001-02,Kharif     ,1763,2674,1.52
, 2002-03,Kharif     ,1196,2154,1.8
, 2003-04,Kharif     ,1344,2412,1.79
, 2004-05,Kharif     ,1396,2246,1.61
, 2005-06,Kharif     ,1288,2519,1.96
, 2006-07,Kharif     ,1056,1498,1.42
, 2007-08,Kharif     ,883,1080,1.22
, 2008-09,Kharif     ,1106,1830,1.65
, 2009-10,Kharif     ,1014,2047,2.02
, 2010-11,Kharif     ,838,1556,1.86
, 2011-12,Kharif     ,775,1134,1.46
, 2012-13,Kharif     ,779,1339,1.72
, 2013-14,Kharif     ,561,1056,1.88
, 2014-15,Kharif     ,483,681,1.41
, 2015-16,Kharif     ,509,721,1.42
, 2016-17,Kharif     ,508,1121,2.21
, 2017-18,Kharif     ,583,1329,2.28
, 2018-19,Kharif     ,613,1255,2.05
, 2019-20,Kharif     ,277,492,1.78
, 2020-21,Kharif     ,361,812,2.25
 7.NAINITAL, 2000-01,Kharif     ,7620,10614,1.39
, 2001-02,Kharif     ,6258,8285,1.32
, 2002-03,Kharif     ,3903,4173,1.07
, 2003-04,Kharif     ,6284,9579,1.52
, 2004-05,Kharif     ,4899,9745,1.99
, 2005-06,Kharif     ,5829,8529,1.46
, 2006-07,Kharif     ,4114,5819,1.41
, 2007-08,Kharif     ,4991,7924,1.59
, 2008-09,Kharif     ,4950,7389,1.49
, 2009-10,Kharif     ,4487,7249,1.62
, 2010-11,Kharif     ,5404,9116,1.69
, 2011-12,Kharif     ,4703,8623,1.83
, 2012-13,Kharif     ,4448,9554,2.15
, 2013-14,Kharif     ,3889,8276,2.13
, 2014-15,Kharif     ,3770,7655,2.03
, 2015-16,Kharif     ,3297,6264,1.9
, 2016-17,Kharif     ,3593,4793,1.33
, 2017-18,Kharif     ,3384,4484,1.33
, 2018-19,Kharif     ,3321,4401,1.33
, 2019-20,Kharif     ,3805,5099,1.34
, 2020-21,Kharif     ,3106,5337,1.72
 8.PAURI GARHWAL, 2000-01,Kharif     ,1920,2221,1.16
, 2001-02,Kharif     ,2108,1809,0.86
, 2002-03,Kharif     ,2412,1930,0.8
, 2003-04,Kharif     ,2305,3105,1.35
, 2004-05,Kharif     ,2305,2651,1.15
, 2005-06,Kharif     ,2305,1816,0.79
, 2006-07,Kharif     ,2286,1829,0.8
, 2007-08,Kharif     ,2065,1757,0.85
, 2008-09,Kharif     ,2069,1761,0.85
, 2009-10,Kharif     ,2093,1781,0.85
, 2010-11,Kharif     ,1952,1708,0.88
, 2011-12,Kharif     ,2435,2195,0.9
, 2012-13,Kharif     ,2124,2166,1.02
, 2013-14,Kharif     ,2095,2136,1.02
, 2014-15,Kharif     ,2348,4118,1.75
, 2015-16,Kharif     ,2324,4183,1.8
, 2016-17,Kharif     ,2214,3985,1.8
, 2017-18,Kharif     ,2221,4586,2.06
, 2018-19,Kharif     ,1996,3737,1.87
, 2019-20,Kharif     ,2272,4521,1.99
, 2020-21,Kharif     ,2084,3447,1.65
 9.PITHORAGARH, 2000-01,Kharif     ,3586,4665,1.3
, 2001-02,Kharif     ,4948,6195,1.25
, 2002-03,Kharif     ,3290,3237,0.98
, 2003-04,Kharif     ,3616,4480,1.24
, 2004-05,Kharif     ,2960,3546,1.2
, 2005-06,Kharif     ,3585,3657,1.02
, 2006-07,Kharif     ,3282,3446,1.05
, 2007-08,Kharif     ,2975,3168,1.06
, 2008-09,Kharif     ,2625,2756,1.05
, 2009-10,Kharif     ,2635,2767,1.05
, 2010-11,Kharif     ,3038,3494,1.15
, 2011-12,Kharif     ,3141,3628,1.16
, 2012-13,Kharif     ,3600,4626,1.29
, 2013-14,Kharif     ,2557,5370,2.1
, 2014-15,Kharif     ,3079,6370,2.07
, 2015-16,Kharif     ,3490,4527,1.3
, 2016-17,Kharif     ,2552,3404,1.33
, 2017-18,Kharif     ,2266,3127,1.38
, 2018-19,Kharif     ,3158,5204,1.65
, 2019-20,Kharif     ,3252,6205,1.91
, 2020-21,Kharif     ,2693,4254,1.58
 10.RUDRA PRAYAG, 2000-01,Kharif     ,162,175,1.08
, 2001-02,Kharif     ,156,149,0.96
, 2002-03,Kharif     ,157,128,0.82
, 2003-04,Kharif     ,155,198,1.28
, 2004-05,Kharif     ,186,231,1.24
, 2005-06,Kharif     ,194,159,0.82
, 2006-07,Kharif     ,156,128,0.82
, 2007-08,Kharif     ,171,207,1.21
, 2008-09,Kharif     ,204,245,1.2
, 2009-10,Kharif     ,200,240,1.2
, 2010-11,Kharif     ,191,228,1.19
, 2011-12,Kharif     ,175,191,1.09
, 2012-13,Kharif     ,190,177,0.93
, 2013-14,Kharif     ,156,145,0.93
, 2014-15,Kharif     ,205,363,1.77
, 2015-16,Kharif     ,209,350,1.67
, 2016-17,Kharif     ,158,286,1.81
, 2017-18,Kharif     ,146,261,1.79
, 2018-19,Kharif     ,162,253,1.56
, 2019-20,Kharif     ,172,279,1.62
, 2020-21,Kharif     ,204,337,1.65
 11.TEHRI GARHWAL, 2000-01,Kharif     ,1926,2017,1.05
, 2001-02,Kharif     ,1884,2069,1.1
, 2002-03,Kharif     ,1641,1042,0.63
, 2003-04,Kharif     ,1711,2945,1.72
, 2004-05,Kharif     ,2060,2163,1.05
, 2005-06,Kharif     ,1972,1885,0.96
, 2006-07,Kharif     ,1882,1799,0.96
, 2007-08,Kharif     ,1728,1621,0.94
, 2008-09,Kharif     ,1818,1863,1.02
, 2009-10,Kharif     ,1851,1897,1.02
, 2010-11,Kharif     ,1936,2120,1.1
, 2011-12,Kharif     ,1782,1964,1.1
, 2012-13,Kharif     ,2107,2436,1.16
, 2013-14,Kharif     ,1788,2068,1.16
, 2014-15,Kharif     ,2049,5172,2.52
